date,open,high,low,close,volume
2009-09-10,1.45555,1.46103,1.45007,1.45797,81049.9
2009-09-11,1.45823,1.46317,1.45527,1.45688,81092.8
2009-09-14,1.45681,1.46516,1.45121,1.46163,81695.0
2009-09-15,1.46181,1.4685,1.45597,1.46561,80826.3
2009-09-16,1.4655,1.47353,1.46429,1.47079,80419.2
2009-09-17,1.47076,1.47654,1.46853,1.47368,80826.6
2009-09-18,1.4738,1.47465,1.46455,1.47084,81793.6
2009-09-21,1.471,1.47121,1.46082,1.46763,81599.8
2009-09-22,1.46778,1.48204,1.46692,1.47886,81002.6
2009-09-23,1.4788,1.48421,1.4724,1.47322,82122.1
2009-09-24,1.47341,1.48026,1.46264,1.46642,81384.9
2009-09-25,1.46639,1.47234,1.46114,1.46859,80601.1
2009-09-28,1.4696,1.47197,1.45593,1.46201,80523.5
2009-09-29,1.46206,1.46455,1.45246,1.45861,81172.0
2009-09-30,1.45859,1.46728,1.45723,1.46366,80595.9
2009-10-01,1.46404,1.46668,1.45154,1.45415,80746.3
2009-10-02,1.45436,1.46467,1.44792,1.45743,80633.4
2009-10-05,1.45773,1.46685,1.45772,1.4648,81029.8
2009-10-06,1.46457,1.47612,1.4643,1.47212,81421.4
2009-10-07,1.472,1.47361,1.4648,1.46887,81847.6
2009-10-08,1.46893,1.4816,1.46794,1.47922,80459.8
2009-10-09,1.47923,1.47973,1.46721,1.4729,81972.7
2009-10-12,1.4724,1.48127,1.46751,1.47709,80571.1
2009-10-13,1.47711,1.48756,1.47575,1.48513,82395.8
2009-10-14,1.48517,1.49443,1.48361,1.49268,81248.0
2009-10-15,1.49235,1.49687,1.48412,1.4947,81736.7
2009-10-16,1.49453,1.4966,1.48463,1.49032,81677.9
2009-10-19,1.49047,1.49656,1.48301,1.49632,81065.4
2009-10-20,1.49634,1.4994,1.48806,1.49444,79114.3
2009-10-21,1.49449,1.50456,1.48846,1.50151,79788.7
2009-10-22,1.50146,1.50383,1.49413,1.5031,80394.2
2009-10-23,1.50298,1.5059,1.4983,1.50057,79298.1
2009-10-26,1.49934,1.506,1.4842,1.48743,79935.1
2009-10-27,1.4875,1.4926,1.4766,1.48023,79202.0
2009-10-28,1.48023,1.48405,1.46888,1.47039,79406.8
2009-10-29,1.47029,1.48582,1.46836,1.48206,80555.4
2009-10-30,1.48183,1.48585,1.47003,1.47177,80465.9
2009-11-02,1.47151,1.48445,1.46814,1.47646,76281.0
2009-11-03,1.47653,1.48088,1.46235,1.471,79745.4
2009-11-04,1.47094,1.49069,1.47003,1.48633,79982.7
2009-11-05,1.4863,1.49166,1.48067,1.48729,80402.7
2009-11-06,1.4874,1.49138,1.48102,1.48444,80152.6
2009-11-07,1.48453,1.48506,1.48381,1.48454,3452.1
2009-11-09,1.48793,1.50197,1.485,1.49864,76758.3
2009-11-10,1.4987,1.50206,1.49357,1.49771,80347.6
2009-11-11,1.49785,1.50495,1.49498,1.49795,79587.2
2009-11-12,1.49786,1.50149,1.48201,1.48395,78859.7
2009-11-13,1.48376,1.4935,1.48231,1.49194,80586.4
2009-11-14,1.49207,1.49221,1.4899,1.48991,2533.3
2009-11-16,1.49164,1.50148,1.48805,1.49706,77595.1
2009-11-17,1.49714,1.49984,1.48048,1.48684,79377.1
2009-11-18,1.48703,1.49896,1.48552,1.49576,79396.8
2009-11-19,1.49581,1.49677,1.48395,1.49182,80052.4
2009-11-20,1.49192,1.49347,1.47998,1.48602,80126.1
2009-11-21,1.48604,1.48673,1.48563,1.48595,3312.4
2009-11-23,1.48551,1.49977,1.48313,1.49662,76351.5
2009-11-24,1.49675,1.49887,1.48859,1.49623,78942.3
2009-11-25,1.49635,1.51441,1.49517,1.5142,79540.9
2009-11-26,1.51423,1.51428,1.49561,1.50134,79076.31
2009-11-27,1.50118,1.5022,1.48264,1.49659,79870.5
2009-11-28,1.49664,1.49868,1.4954,1.49853,3284.7
2009-11-30,1.50094,1.50825,1.4962,1.5014,75996.6
2009-12-01,1.50136,1.51194,1.49719,1.50837,78706.3
2009-12-02,1.50836,1.51096,1.5029,1.50452,80384.7
2009-12-03,1.50452,1.51398,1.5039,1.50714,79068.4
2009-12-04,1.50718,1.50911,1.48188,1.48432,79547.3
2009-12-05,1.48444,1.48581,1.48421,1.48547,2653.0
2009-12-07,1.48532,1.49042,1.47535,1.48112,77259.8
2009-12-08,1.48115,1.48652,1.4679,1.47014,79629.3
2009-12-09,1.47004,1.47809,1.46699,1.47284,79761.6
2009-12-10,1.47283,1.47597,1.46827,1.47287,78774.1
2009-12-11,1.47285,1.47758,1.45845,1.4627,79662.3
2009-12-12,1.46264,1.46295,1.46108,1.46112,3362.0
2009-12-14,1.46224,1.46848,1.45955,1.46513,76361.0
2009-12-15,1.46502,1.46612,1.45011,1.45354,79848.5
2009-12-16,1.4534,1.45903,1.45023,1.45315,79381.9
2009-12-17,1.45306,1.45377,1.43035,1.43413,80982.3
2009-12-18,1.43404,1.44105,1.42582,1.43347,81377.5
2009-12-19,1.43344,1.43472,1.43297,1.43364,2592.3
2009-12-21,1.43037,1.43727,1.42645,1.42843,77172.7
2009-12-22,1.42843,1.4332,1.42149,1.42503,80404.2
2009-12-23,1.42505,1.43646,1.42315,1.43235,80957.8
2009-12-24,1.43234,1.4418,1.43205,1.43715,79696.2
2009-12-25,1.43714,1.44365,1.43558,1.43785,79376.3
2009-12-26,1.43786,1.43794,1.43754,1.43772,2486.0
2009-12-28,1.43859,1.44138,1.43505,1.43763,77741.1
2009-12-29,1.43748,1.44572,1.43311,1.43473,80748.9
2009-12-30,1.43476,1.43606,1.42694,1.43347,79501.7
2009-12-31,1.43364,1.444,1.43025,1.43154,79551.0
2010-01-01,1.43144,1.43356,1.43092,1.43352,79593.3
2010-01-02,1.43333,1.43356,1.43315,1.43335,3497.4
2010-01-04,1.43024,1.44556,1.42559,1.44105,76117.4
2010-01-05,1.44094,1.44834,1.43445,1.43663,79944.1
2010-01-06,1.43663,1.44342,1.42807,1.44113,81044.9
2010-01-07,1.44106,1.44432,1.42976,1.43206,80855.1
2010-01-08,1.43214,1.44382,1.42616,1.44153,80425.8
2010-01-09,1.44144,1.44176,1.44006,1.44083,2452.5
2010-01-11,1.44265,1.45539,1.44049,1.45197,77262.5
2010-01-12,1.45182,1.45479,1.44507,1.44883,79909.4
2010-01-13,1.44886,1.45797,1.4455,1.45082,79508.5
2010-01-14,1.45084,1.45546,1.4445,1.44967,80537.5
2010-01-15,1.44974,1.45111,1.43347,1.43785,80344.5
2010-01-16,1.4376,1.43909,1.43755,1.43849,2595.2
2010-01-18,1.4353,1.43999,1.43325,1.43785,77536.7
2010-01-19,1.43777,1.44124,1.42498,1.42994,79178.8
2010-01-20,1.43002,1.43029,1.4078,1.41014,80433.1
2010-01-21,1.41012,1.41422,1.40247,1.40922,79270.5
2010-01-22,1.40932,1.41805,1.40649,1.41372,79444.9
2010-01-23,1.41376,1.41447,1.41251,1.41361,3315.7
2010-01-25,1.41557,1.41939,1.41248,1.41523,76177.0
2010-01-26,1.41516,1.4178,1.40397,1.40794,79202.1
2010-01-27,1.40782,1.40957,1.39944,1.40204,79352.8
2010-01-28,1.40212,1.40516,1.39454,1.39698,79791.4
2010-01-29,1.39704,1.39861,1.38601,1.38643,78651.1
2010-01-30,1.38645,1.3866,1.38589,1.38605,2458.3
2010-02-01,1.38608,1.39349,1.38501,1.39305,77547.1
2010-02-02,1.39304,1.39748,1.3883,1.39635,80055.4
